"user_supplied_name","submitted_name","data_source_id","data_source_title","gni_uuid","matched_name","classification_path","classification_path_ranks","classification_path_ids","taxon_id","edit_distance","imported_at","match_type","match_value","prescore","score","superkingdom","kingdom","phylum","class","order","family","genus","species"
"Cyctophora cristata","Cyctophora cristata",4,"National Center for Biotechnology Information","b94d45fe-6177-53ae-86df-e1b3e13d9fa7","Cystophora cristata","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Dipnotetrapodomorpha|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Boreoeutheria|Laurasiatheria|Carnivora|Caniformia|Pinnipedia|Phocidae|Cystophora|Cystophora cristata","|superkingdom|clade|kingdom|clade|clade|clade|phylum|subphylum|clade|clade|clade|clade|superclass|clade|clade|clade|class|clade|clade|clade|superorder|order|suborder|clade|family|genus|species","131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|8287|1338369|32523|32524|40674|32525|9347|1437010|314145|33554|379584|3072905|9709|39181|39293","39293",1,"2024-01-09T22:06:11Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Chordata","Mammalia","Carnivora","Phocidae","Cystophora","Cystophora cristata"
"CYPRINUS CARPIO","Cyprinus carpio",4,"National Center for Biotechnology Information","59958574-3204-5beb-90f7-568a9e29441d","Cyprinus carpio","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Actinopterygii|Actinopteri|Neopterygii|Teleostei|Osteoglossocephalai|Clupeocephala|Otomorpha|Ostariophysi|Otophysi|Cypriniphysae|Cypriniformes|Cyprinoidei|Cyprinidae|Cyprininae|Cyprinus|Cyprinus carpio","|superkingdom|clade|kingdom|clade|clade|clade|phylum|subphylum|clade|clade|clade|clade|superclass|class|subclass|infraclass|clade||cohort|subcohort|clade|superorder|order|suborder|family|subfamily|genus|species","131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|7898|186623|41665|32443|1489341|186625|186634|32519|186626|186627|7952|30727|7953|2743694|7961|7962","7962",0,"2024-01-09T22:05:21Z","1","Exact string match","3|0|0",0.988,"Eukaryota","Metazoa","Chordata","Actinopteri","Cypriniformes","Cyprinidae","Cyprinus","Cyprinus carpio"
"CYPRINUS CARPIO","Cyprinus carpio",4,"National Center for Biotechnology Information","79b2bed5-6a34-5887-beeb-03e7d365c122","Cyprinus carpio Ying hybrid","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Actinopterygii|Actinopteri|Neopterygii|Teleostei|Osteoglossocephalai|Clupeocephala|Otomorpha|Ostariophysi|Otophysi|Cypriniphysae|Cypriniformes|Cyprinoidei|Cyprinidae|Cyprininae|Cyprinus|Cyprinus carpio|Cyprinus carpio","|superkingdom|clade|kingdom|clade|clade|clade|phylum|subphylum|clade|clade|clade|clade|superclass|class|subclass|infraclass|clade||cohort|subcohort|clade|superorder|order|suborder|family|subfamily|genus|species|","131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|7898|186623|41665|32443|1489341|186625|186634|32519|186626|186627|7952|30727|7953|2743694|7961|7962|1970159","1970159",0,"2024-01-09T23:18:47Z","2","Exact match by canonical form","3|0|0",0.988,"Eukaryota","Metazoa","Chordata","Actinopteri","Cypriniformes","Cyprinidae","Cyprinus","Cyprinus carpio"
"CYPRINUS CARPIO","Cyprinus carpio",4,"National Center for Biotechnology Information","6356f8e5-57b6-5d75-83f7-6d3771317f23","Cyprinus carpio (triploid)","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Actinopterygii|Actinopteri|Neopterygii|Teleostei|Osteoglossocephalai|Clupeocephala|Otomorpha|Ostariophysi|Otophysi|Cypriniphysae|Cypriniformes|Cyprinoidei|Cyprinidae|Cyprininae|Cyprinus|Cyprinus carpio|Cyprinus carpio","|superkingdom|clade|kingdom|clade|clade|clade|phylum|subphylum|clade|clade|clade|clade|superclass|class|subclass|infraclass|clade||cohort|subcohort|clade|superorder|order|suborder|family|subfamily|genus|species|","131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|7898|186623|41665|32443|1489341|186625|186634|32519|186626|186627|7952|30727|7953|2743694|7961|7962|2653404","2653404",0,"2024-01-09T23:46:06Z","2","Exact match by canonical form","3|0|0",0.988,"Eukaryota","Metazoa","Chordata","Actinopteri","Cypriniformes","Cyprinidae","Cyprinus","Cyprinus carpio"
"CYPRINUS CARPIO","Cyprinus carpio",4,"National Center for Biotechnology Information","7ff0816d-fbee-5012-a067-b93408cc0b83","Cyprinus carpio Guilin","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Actinopterygii|Actinopteri|Neopterygii|Teleostei|Osteoglossocephalai|Clupeocephala|Otomorpha|Ostariophysi|Otophysi|Cypriniphysae|Cypriniformes|Cyprinoidei|Cyprinidae|Cyprininae|Cyprinus|Cyprinus carpio|Cyprinus carpio","|superkingdom|clade|kingdom|clade|clade|clade|phylum|subphylum|clade|clade|clade|clade|superclass|class|subclass|infraclass|clade||cohort|subcohort|clade|superorder|order|suborder|family|subfamily|genus|species|","131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|7898|186623|41665|32443|1489341|186625|186634|32519|186626|186627|7952|30727|7953|2743694|7961|7962|2709802","2709802",0,"2024-01-09T23:48:00Z","2","Exact match by canonical form","3|0|0",0.988,"Eukaryota","Metazoa","Chordata","Actinopteri","Cypriniformes","Cyprinidae","Cyprinus","Cyprinus carpio"
"Cyrtolobus fuliginosa","Cyrtolobus fuliginosa",4,"National Center for Biotechnology Information","0fc02d76-7deb-5e6c-83b7-98e551eb9370","Cyrtolobus fuliginosus","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Paraneoptera|Hemiptera|Auchenorrhyncha|Cicadomorpha|Membracoidea|Membracidae|Cyrtolobus|Cyrtolobus fuliginosus","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|infraorder|superfamily|family|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33342|7524|1955247|33365|33368|30095|54628|104820","104820",2,"2024-01-09T22:08:57Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Hemiptera","Membracidae","Cyrtolobus","Cyrtolobus fuliginosus"
"Cyrtolobus tuberosa","Cyrtolobus tuberosa",4,"National Center for Biotechnology Information","c0c09375-ef19-5777-9911-c2f605b40109","Cyrtolobus tuberosus","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Paraneoptera|Hemiptera|Auchenorrhyncha|Cicadomorpha|Membracoidea|Membracidae|Cyrtolobus|Cyrtolobus tuberosus","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|infraorder|superfamily|family|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33342|7524|1955247|33365|33368|30095|54628|54629","54629",2,"2024-01-09T22:06:51Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Hemiptera","Membracidae","Cyrtolobus","Cyrtolobus tuberosus"
"Cyrtopogon latutius","Cyrtopogon latutius",4,"National Center for Biotechnology Information","9fbf11dc-bdb1-51fc-a998-fc9d0d6d2059","Cyrtopogon lutatius","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Diptera|Brachycera|Muscomorpha|Asiloidea|Asilidae|Brachyrhopalinae|Cyrtopogon|Cyrtopogon lutatius","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|infraorder|superfamily|family|subfamily|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7147|7203|43733|50671|50673|480075|468713|2566507","2566507",2,"2024-01-09T23:42:54Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Asilidae","Cyrtopogon","Cyrtopogon lutatius"
"Danaus plexippus plexippus","Danaus plexippus plexippus",4,"National Center for Biotechnology Information","69a09024-94ec-52b0-a9b8-71102f57e156","Danaus plexippus plexippus","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Amphiesmenoptera|Lepidoptera|Glossata|Neolepidoptera|Heteroneura|Ditrysia|Obtectomera|Papilionoidea|Nymphalidae|Danainae|Danaini|Danaina|Danaus|Danaus|Danaus plexippus|Danaus plexippus plexippus","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|superorder|order|suborder|infraorder|parvorder|clade|clade|superfamily|family|subfamily|tribe|subtribe|genus|subgenus|species|subspecies","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|85604|7088|41191|41196|41197|37567|104431|37572|33415|127218|30248|344705|13036|151542|13037|278856","278856",0,"2024-01-09T22:16:22Z","1","Exact string match","8|0|0",0.999,"Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Danaus","Danaus plexippus"
"Danosoma brevicorne","Danosoma brevicorne",4,"National Center for Biotechnology Information","4c78f776-18fa-5df7-a34b-310be4b7ad33","Danosoma brevicornis","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Coleoptera|Polyphaga|Elateriformia|Elateroidea|Elateridae|Agrypninae|Agrypnini|Danosoma|Danosoma brevicornis","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|infraorder|superfamily|family|subfamily|tribe|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7041|41084|41087|71193|30009|195166|2761157|445468|1709643","1709643",2,"2024-01-09T23:08:28Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Coleoptera","Elateridae","Danosoma","Danosoma brevicornis"
"Datana drexeli","Datana drexeli",4,"National Center for Biotechnology Information","00562440-7d86-59ab-bc35-aa82b1aff088","Datana drexelii","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Amphiesmenoptera|Lepidoptera|Glossata|Neolepidoptera|Heteroneura|Ditrysia|Obtectomera|Noctuoidea|Notodontidae||Datana|Datana drexelii","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|superorder|order|suborder|infraorder|parvorder|clade|clade|superfamily|family||genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|85604|7088|41191|41196|41197|37567|104431|37570|37571|718183|56585|1178085","1178085",1,"2024-01-09T22:47:31Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Notodontidae","Datana","Datana drexelii"
"Datana sp.","Datana sp.",4,"National Center for Biotechnology Information","f3b6ed13-dbf7-5758-83b5-fe91bf15a81e","Datana","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Amphiesmenoptera|Lepidoptera|Glossata|Neolepidoptera|Heteroneura|Ditrysia|Obtectomera|Noctuoidea|Notodontidae||Datana","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|superorder|order|suborder|infraorder|parvorder|clade|clade|superfamily|family||genus","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|85604|7088|41191|41196|41197|37567|104431|37570|37571|718183|56585","56585",0,"2024-01-09T22:06:54Z","2","Exact match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Notodontidae","Datana","na"
"Decantha borkhauseni","Decantha borkhauseni",4,"National Center for Biotechnology Information","b3b69345-f162-554b-88b1-577279ad5100","Decantha borkhausenii","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Amphiesmenoptera|Lepidoptera|Glossata|Neolepidoptera|Heteroneura|Ditrysia|Gelechioidea|Oecophoridae|Oecophorinae|Decantha|Decantha borkhausenii","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|superorder|order|suborder|infraorder|parvorder|clade|superfamily|family|subfamily|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|85604|7088|41191|41196|41197|37567|37581|57992|116123|347783|1660613","1660613",1,"2024-01-09T23:06:34Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Oecophoridae","Decantha","Decantha borkhausenii"
"Degeeriella discocephala","Degeeriella discocephala",4,"National Center for Biotechnology Information","e48a8cbd-9450-56a2-a50d-0c052e54b0f2","Degeeriella discocephalus","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Paraneoptera|Psocodea|Phthiraptera|Ischnocera|Philopteridae|Degeeriella|Degeeriella discocephalus","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|superorder|order|suborder|family|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33342|1930602|85819|35634|66236|186208|1941257","1941257",2,"2024-01-09T23:17:43Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Phthiraptera","Philopteridae","Degeeriella","Degeeriella discocephalus"
"Desmometopa sordidum","Desmometopa sordidum",4,"National Center for Biotechnology Information","04191e52-e5b3-56d3-9210-60516e3ccf06","Desmometopa sordida","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Diptera|Brachycera|Muscomorpha|Eremoneura|Cyclorrhapha|Schizophora|Acalyptratae|Carnoidea|Milichiidae|Desmometopa|Desmometopa sordida","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|infraorder|clade|clade|||superfamily|family|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7147|7203|43733|480118|480117|43738|43741|43743|305559|305587|1886926","1886926",2,"2024-01-09T23:15:30Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Milichiidae","Desmometopa","Desmometopa sordida"
"Dicerca tenebrosa","Dicerca tenebrosa",4,"National Center for Biotechnology Information","1424a21e-279a-537e-96ef-a7a5720b78ec","Dicerca tenebrica","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Coleoptera|Polyphaga|Elateriformia|Buprestoidea|Buprestidae|Chalcophorinae|Dicerca|Dicerca tenebrica","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|infraorder|superfamily|family|subfamily|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7041|41084|41087|71192|50527|261154|219352|1943812","1943812",2,"2024-01-09T23:17:47Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Coleoptera","Buprestidae","Dicerca","Dicerca tenebrica"
"Dichomeris punctidiscellus","Dichomeris punctidiscellus",4,"National Center for Biotechnology Information","143b1a35-4bfe-583a-8d23-88eb06f9e5b3","Dichomeris punctidiscella","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Amphiesmenoptera|Lepidoptera|Glossata|Neolepidoptera|Heteroneura|Ditrysia|Gelechioidea|Gelechiidae|Dichomeridinae|Dichomeris|Dichomeris punctidiscella","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|superorder|order|suborder|infraorder|parvorder|clade|superfamily|family|subfamily|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|85604|7088|41191|41196|41197|37567|37581|32434|689154|347742|1178088","1178088",2,"2024-01-09T22:47:31Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Gelechiidae","Dichomeris","Dichomeris punctidiscella"
"Dicranophorus lütkeni","Dicranophorus lütkeni",4,"National Center for Biotechnology Information","8e43b212-fd95-56a3-aacc-75e1b92f3647","Dicranophorus luetkeni","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Spiralia|Gnathifera|Rotifera|Eurotatoria|Monogononta|Pseudotrocha|Ploima|Dicranophoridae|Dicranophorus|Dicranophorus luetkeni","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|class|subclass|superorder|order|family|genus|species","131567|2759|33154|33208|6072|33213|33317|2697495|2697496|10190|2816136|10191|1709201|84394|360657|360658|2739556","2739556",1,"2024-01-09T23:49:13Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Rotifera","Eurotatoria","Ploima","Dicranophoridae","Dicranophorus","Dicranophorus luetkeni"
"Dicranota pallida","Dicranota pallida",4,"National Center for Biotechnology Information","14a34c59-a8d0-5d43-b0e8-0491d3302eb7","Dicranota pavida","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Diptera|Nematocera|Tipulomorpha|Tipuloidea|Pediciidae|Pediciinae|Dicranota|Dicranota pavida","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|infraorder|superfamily|family|subfamily|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7147|7148|43789|41829|702679|472373|700836|2806994","2806994",2,"2024-01-09T23:51:49Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Pediciidae","Dicranota","Dicranota pavida"
"Dicrolene intronigra","Dicrolene intronigra",4,"National Center for Biotechnology Information","55758de3-69ea-5751-9280-a81a911fa70c","Dicrolene introniger","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Actinopterygii|Actinopteri|Neopterygii|Teleostei|Osteoglossocephalai|Clupeocephala|Euteleosteomorpha|Neoteleostei|Eurypterygia|Ctenosquamata|Acanthomorphata|Euacanthomorphacea|Percomorphaceae|Ophidiaria|Ophidiiformes|Ophidioidei|Ophidiidae|Neobythitinae|Dicrolene|Dicrolene introniger","|superkingdom|clade|kingdom|clade|clade|clade|phylum|subphylum|clade|clade|clade|clade|superclass|class|subclass|infraclass|clade||cohort|clade|clade|clade|clade|clade|clade|clade|order|suborder|family|subfamily|genus|species","131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|7898|186623|41665|32443|1489341|186625|1489388|123365|123366|123367|123368|123369|1489872|1489873|94929|181389|94930|181395|1003168|1003169","1003169",2,"2024-01-09T22:41:06Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Chordata","Actinopteri","Ophidiiformes","Ophidiidae","Dicrolene","Dicrolene introniger"
"Dineutes americanus","Dineutes americanus",4,"National Center for Biotechnology Information","34aa60f3-3087-55bb-bb49-e70b50640765","Dineutus americanus","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Coleoptera|Adephaga|Gyrinoidea|Gyrinidae|Dineutus|Dineutus americanus","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|superfamily|family|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7041|41071|535384|107778|357802|1978417","1978417",1,"2024-01-09T23:19:10Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Coleoptera","Gyrinidae","Dineutus","Dineutus americanus"
"Dineutes horni","Dineutes horni",4,"National Center for Biotechnology Information","6d5c1851-652e-5bff-bd54-aae40df41bd3","Dineutus hornii","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Coleoptera|Adephaga|Gyrinoidea|Gyrinidae|Dineutus|Dineutus hornii","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|superfamily|family|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7041|41071|535384|107778|357802|1564125","1564125",2,"2024-01-09T23:02:46Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Coleoptera","Gyrinidae","Dineutus","Dineutus hornii"
"Dineutes nigrior","Dineutes nigrior",4,"National Center for Biotechnology Information","c407e8c5-9b69-506b-a84c-b87cecf3e801","Dineutus nigrior","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Coleoptera|Adephaga|Gyrinoidea|Gyrinidae|Dineutus|Dineutus nigrior","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|superfamily|family|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7041|41071|535384|107778|357802|1564128","1564128",1,"2024-01-09T23:02:46Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Coleoptera","Gyrinidae","Dineutus","Dineutus nigrior"
"Diploneura concinna","Diploneura concinna",4,"National Center for Biotechnology Information","9fc0aeb0-a8be-5dcb-b8b9-acea645c50f9","Diplonevra concinna","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Diptera|Brachycera|Muscomorpha|Eremoneura|Cyclorrhapha|Aschiza|Platypezoidea|Phoridae|Phorinae|Diplonevra|Diplonevra concinna","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|infraorder|clade|clade||superfamily|family|subfamily|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7147|7203|43733|480118|480117|43737|43739|36164|43832|92534|2719056","2719056",1,"2024-01-09T23:48:23Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Phoridae","Diplonevra","Diplonevra concinna"
"Diplosolen obelium","Diplosolen obelium",4,"National Center for Biotechnology Information","c1aa0ad1-be17-5791-8cfb-98277967a770","Diplosolen obelia","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Spiralia|Lophotrochozoa|Bryozoa|Stenolaemata|Cyclostomatida|Diastoporidae|Diplosolen|Diplosolen obelia","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|class|order|family|genus|species","131567|2759|33154|33208|6072|33213|33317|2697495|1206795|10205|97264|97265|515586|626266|626267","626267",2,"2024-01-09T22:29:32Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Bryozoa","Stenolaemata","Cyclostomatida","Diastoporidae","Diplosolen","Diplosolen obelia"
